,sido,sigungu,sales_all,sales_agriculture,sales_mine,sales_manufacture,sales_electricity,sales_disposal,sales_construction,sales_sale,sales_transportation,sales_accommodation,sales_info_com,sales_finance,sales_real_estate,sales_specialty,sales_management,sales_administration,sales_education,sales_health,sales_art,sales_association,elderly_pop_rate,elderly_pop,population,income_all,income_agriculture,income_mine,income_manufacture,income_electricity,income_disposal,income_construction,income_sale,income_transportation,income_accommodation,income_info_com,income_finance,income_real_estate,income_specialty,income_management,income_administration,income_education,income_health,income_art,income_association,group_sales,group_income
106,경상북도,영덕군,2047350,54544,22820,175369,127982,29630,212735,433708,18729,112885,24730,164021,7882,24644,11507,304504,156931,92927,47069,24733,37.9,13750,36313,28.69370419,66.53508772,36.68627451,18.3950256,21.48669202,55.27272727,21.79877474,9.466452206,15.71130952,5.451347647,55.515625,139.2653631,14.18181818,37.04150943,22.11111111,80.61520376,52.29977376,30.84665367,28.47938144,9.589958159,2,2
107,경상북도,영양군,825378,25576,NA,67401,150303,2985,80629,101301,6245,14933,10016,63402,17,21026,1753,203358,27671,36627,6350,5630,37.6,6278,16692,32.00204531,51.97826087,NA,25.68731563,19.83216783,30.64516129,17.08313539,10.625966,17.61481481,2.981776765,60.0625,133.3706897,0.6,35.23569024,11.45454545,67.08426483,47.43467337,25.20545977,32.28947368,6.797101449,6,5
108,경상북도,영주시,9823666,39853,27283,4069701,378897,43802,892493,1508657,326802,199614,89805,841932,69682,71990,42519,576619,241872,278544,48638,74963,27.3,28146,103119,31.29158329,32.36458333,51.61157025,50.1918754,19.15942029,50.5254902,24.39465293,12.72698819,37.97813121,5.859020045,58.39875389,74.0591133,19.71993127,36.99344692,27.05079826,79.99279465,42.65299092,32.8497784,19.61420613,9.940867907,1,2
109,경상북도,영천시,12227387,183622,NA,6451262,177716,197160,705368,1747408,382346,590502,67007,457352,145424,111501,69046,400150,162359,241997,50439,82937,28.3,28871,102015,32.00594524,39.1039501,NA,45.37917811,13.48947368,52.33676471,20.79659212,17.66530264,10.0810098,7.293726511,70.44651163,77.52637615,14.52727273,38.23011665,25.38184932,67.04541407,41.64444444,25.75506329,18.76397516,12.21664829,1,2
110,경상북도,예천군,2253932,101718,1931,207873,200375,27041,247503,504783,20146,76053,50401,150714,18228,28613,16455,292835,96421,142658,35759,34425,30.3,16844,55613,28.93266074,41.99487179,52.75,23.68745067,19.04081633,19.14218009,28.55761879,13.8415391,12.5155642,5.404281346,86.33031674,89.875,15.38961039,36.24028269,28.25136612,60.83664209,46.39208075,29.76712871,32.14749263,10.18377088,2,4
111,경상북도,울릉군,622806,2891,NA,41396,46161,13463,58750,62045,14738,29367,11887,36269,5099,1149,10892,237001,14057,22971,5870,8800,26.3,2386,9077,44.76216462,64.4,NA,15.85833333,81.19565217,50.39726027,32.75144509,8.242258652,27.11538462,5.486842105,66.58181818,112.3333333,11.72727273,28.19047619,25.63690476,183.431631,48.87978142,48.42613636,27.44303797,9.550151976,6,6
112,경상북도,울진군,4957160,24521,9072,122264,2330959,23142,333372,634565,37062,210494,24830,219140,19351,290590,31388,353849,85520,133276,37220,36545,28,13643,48716,43.48150275,34.95391705,60.53658537,23.92078285,105.3619759,52.33333333,34.15938957,11.94950645,18.2688172,10.30755587,65.24242424,93.8537859,47,107.2548114,27.2,53.13092046,43.44083333,36.10174102,40.16790123,10.56852792,4,3
113,경상북도,의성군,2920411,107168,2160,564283,160774,28243,264252,603819,83742,54052,40995,265072,7887,29900,13220,395409,64459,138203,61365,35408,41.5,21478,51724,28.68146728,40.98113208,31.5,30.79019908,15.12820513,38.99494949,24.55683168,10.99007299,8.993307839,4.712827988,64.88,116.6848485,10.96610169,32.74074074,25.8627451,77.45349544,46.40159272,25.71645274,26.93410853,9.559340659,2,4
114,경상북도,청도군,2442953,136144,NA,631269,91991,41029,148449,445020,59183,90323,23865,127813,24370,24704,57070,296447,68305,101557,48130,22410,37.9,16027,42263,27.06621966,34.54793233,NA,26.57200484,18.72727273,25.92261905,36.94661355,13.65671047,9.662452592,6.609550562,65.75438596,37.96096096,6.811059908,37.32534247,47.38235294,54.64278351,52.15455746,27.33861893,25.88571429,9.759281437,2,4
115,경상북도,청송군,1659223,34973,9162,89086,162630,25112,129599,335359,115050,57613,27585,94752,2267,8001,9503,395896,43221,82255,14239,22920,37.5,9382,25044,27.9551163,43.88,34.625,16.05339806,40.63703704,25.27631579,17.85346442,15.79807692,10.82493369,6.969671441,73.94444444,99.41208791,10.30612245,32.33333333,84.5443038,70.12871287,53.35098039,11.44667078,22.14835165,11.46330275,2,4
116,경상북도,칠곡군,14177663,52649,16528,6991139,420921,175061,665493,3164141,640560,289288,40812,374728,142583,81920,87836,365084,241944,224474,56711,145791,16,18335,114758,31.72292067,29.63559322,57.65217391,37.55391136,41.52815013,47.41620626,37.67208534,19.97999558,20.8600907,8.516419833,45.39464883,115.5221843,21.85313175,39.91836735,22.32612179,74.71381032,40.7992078,25.05132948,14.57331863,13.96483622,1,1
117,경상북도,포항시,58245843,58937,8965,29034157,853113,619330,3774272,7880507,1972551,1222040,479268,4512958,473842,1664221,870878,1561781,1059026,1450206,182411,567380,17.5,87960,502916,38.44832914,37.63728814,28.84615385,67.46884196,55.13722127,56.06769826,36.42092383,17.42724208,23.924317,8.272950278,55.28713281,68.20227111,20.40451856,54.06202465,48.99414276,67.987978,41.69363233,32.75193203,18.87170185,13.37537444,5,1
